SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Probability,Actual_Churn,Risk_Segment
0,1,1,72,1,1,114.05,8468.2,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.0,0,Low Risk
1,0,0,8,1,1,100.15,908.55,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,0.74,0,High Risk
0,1,1,41,1,1,78.35,3211.2,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,0.09,0,Low Risk
0,1,0,18,1,0,78.2,1468.75,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.315,0,Low Risk
0,1,0,72,1,1,82.65,5919.35,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0.01,0,Low Risk
0,0,0,21,1,1,99.85,1992.55,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0.445,0,Medium Risk
0,0,0,21,1,1,99.15,1956.4,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,0.35,0,Low Risk
0,0,1,19,1,1,24.1,439.2,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0.095,0,Low Risk
0,1,1,61,1,0,19.75,1311.6,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.01,0,Low Risk
1,0,0,17,1,1,45.05,770.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.425,1,Medium Risk
0,1,1,70,1,1,106.05,7554.05,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.16,0,Low Risk
1,1,0,72,1,1,114.85,8317.95,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.0,0,Low Risk
0,0,0,49,0,1,30.2,1453.1,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.2,0,Low Risk
1,0,0,11,1,1,84.8,906.85,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.64,1,Medium Risk
0,0,1,19,1,0,48.8,953.65,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.135,0,Low Risk
0,1,1,72,1,1,84.5,6130.85,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,0.08,0,Low Risk
0,1,1,8,1,0,19.5,159.35,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.015,0,Low Risk
0,0,1,15,1,1,91.0,1430.05,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.67,0,Medium Risk
0,1,0,67,1,1,105.7,6816.95,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,0.15,0,Low Risk
0,1,0,26,0,0,35.4,978.6,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.12,0,Low Risk
1,0,0,2,1,1,74.85,156.4,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.615,1,Medium Risk
0,1,0,21,0,0,28.5,629.35,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.315,0,Low Risk
0,1,0,49,1,1,20.05,923.1,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0.0,0,Low Risk
